Company,Location,Sector,About,Amount,Stage,Funding Year
Aqgromalin,Chennai,AgriTech,Cultivating Ideas for Profit,200000.0,Series A,2020
Krayonnz,Bengaluru,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,100000.0,Pre-seed,2020
PadCare Labs,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,3000000.0,Pre-seed,2020
NCOME,New Delhi,Escrow,Escrow-as-a-service platform,400000.0,Series A,2020
Gramophone,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,340000.0,Series A,2020
qZense,Bengaluru,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,600000.0,Seed,2020
MyClassboard,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,600000.0,Pre-series A,2020
Metvy,Gurugram,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,3000000.0,Pre-series,2020
Rupeek,Bengaluru,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",45000000.0,Series C,2020
Gig India,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,1000000.0,Pre-series A,2020
Slurrp Farm,Gurugram,Food & Bevarages,Slurrp Farm is a children health food brand.,2000000.0,Series A,2020
Medfin,Bengaluru,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,3000000.0,Series A,2020
MasterG,New Delhi,Fashion startup,MasterG is a design and skill development organisation.,3000000.0,Series A,2020
Brila 91,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,1200000.0,Series A,2020
FoodyBuddy,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,600000.0,Series A,2020
Zomato,Gurugram,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,660000000.0,Series A,2020
OurEye.ai,Bengaluru,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",120000.0,Series A,2020
Shiprocket,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,7500000.0,Series C,2020
Pine Labs,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,3000000.0,Series A,2020
Moneyboxx Finance,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,1000000.0,Series A,2020
EWar,Bengaluru,Gaming,EWar Games is a e-sports and real-time gaming start-up.,3000000.0,Pre-series A,2020
SucSEED Indovation,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",5000000.0,Series A,2020
TaxBuddy.com,Mumbai,FinTech,TaxBuddy for any tax related issues.,1000000.0,Series A,2020
Awign Enterprises,Bengaluru,Work fulfillment,Operations and manpower outsourcing startup,500000.0,Series A,2020
Circle of Angels,Gurugram,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,3000000.0,Series A,2020
CoinDCX,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,10000000.0,Series B,2020
Glance,Bengaluru,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,145000000.0,Series A,2020
